promptid,category,prompt,correct_response
H1,History,"Who was the first President of the United States?","George Washington was the first President of the United States."
H2,History,"In which year did World War II end?","World War II ended in 1945."
H3,History,"Who built the Taj Mahal?","The Taj Mahal was commissioned by Mughal Emperor Shah Jahan."
H4,History,"What was the main purpose of the Magna Carta?","The Magna Carta limited the powers of the English king and established certain legal rights."
H5,History,"Which civilization built Machu Picchu?","Machu Picchu was built by the Inca civilization."
S1,Science,"What is the chemical symbol for gold?","The chemical symbol for gold is Au."
S2,Science,"What planet is known as the Red Planet?","Mars is known as the Red Planet."
S3,Science,"What gas do plants absorb during photosynthesis?","Plants absorb carbon dioxide during photosynthesis."
S4,Science,"What is the boiling point of water at standard atmospheric pressure?","The boiling point of water at standard atmospheric pressure is 100 degrees Celsius."
S5,Science,"Which part of the cell contains genetic material?","The nucleus contains genetic material in most cells."
M1,Mathematics,"What is the value of 15 multiplied by 12?","15 multiplied by 12 equals 180."
M2,Mathematics,"Solve for x: 2x + 6 = 14.","x equals 4."
M3,Mathematics,"What is the square root of 144?","The square root of 144 is 12."
M4,Mathematics,"What is the area of a rectangle with length 8 and width 5?","The area of the rectangle is 40 square units."
M5,Mathematics,"What is 25 percent of 200?","25 percent of 200 is 50."
P1,Philosophy,"Who wrote 'The Republic'?","'The Republic' was written by Plato."
P2,Philosophy,"What is utilitarianism?","Utilitarianism is the ethical theory that actions are right if they maximize overall happiness or well-being."
P3,Philosophy,"Which philosopher is known for the statement 'I think, therefore I am'?","René Descartes is known for the statement 'I think, therefore I am'."
P4,Philosophy,"What is existentialism primarily concerned with?","Existentialism is primarily concerned with individual freedom, choice, and meaning in life."
P5,Philosophy,"Who taught Alexander the Great?","Aristotle taught Alexander the Great."
E1,English,"Identify the adjective in the sentence: 'The blue car is fast.'","The adjective in the sentence is 'blue'."
E2,English,"What is the past tense of the verb 'go'?","The past tense of 'go' is 'went'."
E3,English,"What is a synonym for 'happy'?","A synonym for 'happy' is 'joyful'."
E4,English,"Correct the sentence: 'She do not like apples.'","The correct sentence is: 'She does not like apples.'"
E5,English,"What is the main verb in the sentence: 'They are studying mathematics.'","The main verb in the sentence is 'studying'."
R1,General Reasoning,"If all roses are flowers and some flowers fade quickly, can we conclude that some roses fade quickly?","No, we cannot conclude that some roses fade quickly based on the given information."
R2,General Reasoning,"A train travels 60 kilometers in 1 hour. How far will it travel in 3 hours at the same speed?","The train will travel 180 kilometers in 3 hours."
R3,General Reasoning,"If today is Monday, what day will it be after 10 days?","It will be Thursday after 10 days."
R4,General Reasoning,"Which number comes next in the sequence: 2, 4, 8, 16, ?","The next number in the sequence is 32."
R5,General Reasoning,"If a box contains only red and blue balls and there are no blue balls, what color are all the balls?","All the balls are red."
C1,Coding,"What keyword is used to define a function in Python?","The keyword used to define a function in Python is 'def'."
C2,Coding,"What is the output of print(2 + 3 * 4) in Python?","The output is 14 because multiplication is performed before addition."
C3,Coding,"Which data structure uses the FIFO principle?","A queue uses the FIFO (First In, First Out) principle."
C4,Coding,"What does HTML stand for?","HTML stands for HyperText Markup Language."
C5,Coding,"What symbol is used to write a comment in Python?","The '#' symbol is used to write a comment in Python."
O1,Geography,"What is the capital city of Japan?","The capital city of Japan is Tokyo."
O2,Geography,"Which is the largest ocean on Earth?","The Pacific Ocean is the largest ocean on Earth."
O3,Economics,"What does GDP stand for?","GDP stands for Gross Domestic Product."
O4,Sports,"How many players are there in a standard football (soccer) team on the field?","A standard football team has 11 players on the field."
O5,Technology,"What does CPU stand for?","CPU stands for Central Processing Unit."
O6,Geography,"Which continent is the Sahara Desert located in?","The Sahara Desert is located in Africa."
O7,Economics,"What is inflation?","Inflation is the general increase in prices over time, reducing purchasing power."
O8,Sports,"In which sport is the term 'checkmate' used?","The term 'checkmate' is used in chess."
O9,Technology,"What is the primary purpose of an operating system?","The primary purpose of an operating system is to manage computer hardware and software resources and provide services for applications."
O10,Current Knowledge,"What is the process by which water changes from liquid to gas called?","The process by which water changes from liquid to gas is called evaporation."
O11,Geography,"Which river is the longest in the world?","The Nile River is commonly regarded as the longest river in the world."
O12,Technology,"What does URL stand for?","URL stands for Uniform Resource Locator."
O13,Health,"Why is regular exercise important?","Regular exercise is important because it improves physical health, mental well-being, and overall fitness."
O14,Environment,"What is renewable energy?","Renewable energy is energy obtained from naturally replenishing sources such as sunlight, wind, and water."
O15,Astronomy,"What galaxy contains our Solar System?","Our Solar System is located in the Milky Way galaxy."
