promptid,category,model,prompt,response
H1,History,qwen/qwen3-next-80b-a3b-instruct,Who was the first President of the United States?,"The first President of the United States was George Washington. He was inaugurated on April 30, 1789, and served two terms until 1797."
H2,History,qwen/qwen3-next-80b-a3b-instruct,In which year did World War II end?,"World War II ended in **1945**.  

The war in Europe concluded on **May 8, 1945** (V-E Day), after Germany’s unconditional surrender. The war officially ended globally on **September 2, 1945**, when Japan formally surrendered aboard the USS Missouri, marking V-J Day."
H3,History,qwen/qwen3-next-80b-a3b-instruct,Who built the Taj Mahal?,"The Taj Mahal was built by the Mughal Emperor Shah Jahan in memory of his beloved wife, Mumtaz Mahal. Construction began around 1632 and was substantially completed by 1648, with additional work continuing until about 1653. It is located in Agra, India, and is widely regarded as a masterpiece of Mughal architecture."
H4,History,qwen/qwen3-next-80b-a3b-instruct,What was the main purpose of the Magna Carta?,"The main purpose of the Magna Carta, signed by King John of England in 1215, was to limit the power of the monarchy and establish that the king was subject to the law—not above it. It was originally intended to address grievances of rebellious barons by protecting their feudal rights, ensuring fair legal processes, and preventing arbitrary rule. While initially a practical solution to a political crisis, it became a foundational symbol of constitutional law and individual liberties in later centuries."
H5,History,qwen/qwen3-next-80b-a3b-instruct,Which civilization built Machu Picchu?,"Machu Picchu was built by the **Inca civilization**.

It was constructed in the 15th century, during the reign of the Inca emperor Pachacuti, as an estate or royal retreat. Located in the Andes Mountains of modern-day Peru, Machu Picchu is a remarkable example of Inca architecture, engineering, and urban planning."
S1,Science,qwen/qwen3-next-80b-a3b-instruct,What is the chemical symbol for gold?,The chemical symbol for gold is **Au**.
S2,Science,qwen/qwen3-next-80b-a3b-instruct,What planet is known as the Red Planet?,"The planet known as the Red Planet is **Mars**. It gets this nickname because of its reddish appearance, which is caused by iron oxide (rust) on its surface."
S3,Science,qwen/qwen3-next-80b-a3b-instruct,What gas do plants absorb during photosynthesis?,Plants absorb **carbon dioxide (CO₂)** during photosynthesis.
S4,Science,qwen/qwen3-next-80b-a3b-instruct,What is the boiling point of water at standard atmospheric pressure?,The boiling point of water at standard atmospheric pressure (1 atm or 101.325 kPa) is **100°C** (212°F).
S5,Science,qwen/qwen3-next-80b-a3b-instruct,Which part of the cell contains genetic material?,"The **nucleus** contains the genetic material in eukaryotic cells. It houses the cell’s DNA, organized into chromosomes.

In prokaryotic cells (like bacteria), which lack a nucleus, the genetic material is found in a region called the **nucleoid**."
M1,Mathematics,qwen/qwen3-next-80b-a3b-instruct,What is the value of 15 multiplied by 12?,"15 multiplied by 12 is:

$$
15 \times 12 = 180
$$

So, the value is **180**."
